case_T_hot,node,r,z,u_r,u_z,u_swirl,pressure,T
1765.0,3407,0.1363672778,0.1006704104,0.006361769344,0.00045365064,0.06944638991,-2.772638691,1699.344177
1765.0,3408,0.01640473889,0.1006876926,0.001316179596,-0.000962856272,-0.02026088857,-0.4571636508,1718.454461
1765.0,3409,0.1376154367,0.1008410774,0.006176683753,0.000397063239,0.07085811793,-2.855535972,1698.194779
1765.0,3410,0.01794196741,0.100879816,0.001284332423,-0.001115866692,-0.01924068514,-0.455459208,1718.250608
1765.0,3411,0.1387798675,0.1010002959,0.00594560542,0.0003439334586,0.07219567501,-2.936524594,1697.07288
1765.0,3412,0.1022495749,0.1010459411,-0.0006607853509,-0.000613090534,0.04056052409,-1.07080573,1708.326252
1765.0,3413,0.01958972992,0.101085754,0.001226949904,-0.001285555917,-0.01814385691,-0.4528241607,1718.050635
1765.0,3414,0.1398661868,0.1011488338,0.005675715732,0.0002947461814,0.07346096096,-3.015214194,1695.988142
1765.0,3415,0.06463036722,0.1012547573,-0.004391877637,-0.003889395259,0.01339538189,-0.2267176251,1713.22701
1765.0,3416,0.1408796344,0.1012874076,0.005373733278,0.0002498072413,0.07465610729,-3.09134862,1694.947478
1765.0,3417,0.02135597434,0.1013064999,0.001140386581,-0.001472455692,-0.01696426483,-0.4490322715,1717.857576
1765.0,3418,0.1418250987,0.1014166857,0.005045871711,0.0002092501841,0.07578344278,-3.164761916,1693.955447
1765.0,3419,0.1057863926,0.1015228362,0.0002973355289,-0.0003457640829,0.04340982255,-1.188894004,1708.265967
1765.0,3420,0.1427071401,0.1015372916,0.004697807608,0.0001730706041,0.07684545582,-3.235318918,1693.01466
1765.0,3421,0.02324922009,0.1015431185,0.001020770456,-0.001676783487,-0.01569517734,-0.4437937625,1717.674533
1765.0,3422,0.143530013,0.1016498072,0.004334667804,0.0001411644088,0.07784475605,-3.302927927,1692.126187
1765.0,3423,0.1442976865,0.101754775,0.003961033947,0.0001133470437,0.07878403736,-3.367550465,1691.289908
